Measurement Number, Transmitter, TX Power, Mode, RSSI
523, 0, 2, 1, -61
524, 0, 2, 1, -61
525, 0, 2, 1, -61
526, 0, 2, 1, -61
527, 0, 2, 1, -61
528, 0, 2, 1, -61
529, 0, 2, 1, -61
530, 0, 2, 1, -61
531, 0, 2, 1, -61
532, 0, 2, 1, -61
533, 0, 2, 1, -61
534, 0, 2, 1, -61
535, 0, 2, 1, -61
536, 0, 2, 1, -61
537, 0, 2, 1, -61
538, 0, 2, 1, -61
539, 0, 2, 1, -61
540, 1, 2, 1, -61
541, 1, 2, 1, -61
542, 1, 2, 1, -61
543, 1, 2, 1, -61
544, 1, 2, 1, -61
545, 1, 2, 1, -63
546, 1, 2, 1, -61
547, 1, 2, 1, -61
548, 1, 2, 1, -61
549, 1, 2, 1, -61
550, 1, 2, 1, -61
551, 1, 2, 1, -61
552, 1, 2, 1, -61
553, 1, 2, 1, -61
554, 1, 2, 1, -61
555, 1, 2, 1, -61
556, 1, 2, 1, -61
557, 1, 2, 1, -61
558, 1, 2, 1, -61
559, 1, 2, 1, -61
560, 0, 3, 1, -60
561, 0, 3, 1, -60
562, 0, 3, 1, -60
563, 0, 3, 1, -60
564, 0, 3, 1, -60
565, 0, 3, 1, -60
566, 0, 3, 1, -60
567, 0, 3, 1, -60
568, 0, 3, 1, -60
569, 0, 3, 1, -60
570, 0, 3, 1, -60
571, 0, 3, 1, -60
572, 0, 3, 1, -60
573, 0, 3, 1, -60
574, 0, 3, 1, -60
575, 0, 3, 1, -60
576, 0, 3, 1, -60
577, 0, 3, 1, -60
578, 0, 3, 1, -60
579, 0, 3, 1, -60
580, 1, 3, 1, -60
581, 1, 3, 1, -60
582, 1, 3, 1, -60
583, 1, 3, 1, -60
584, 1, 3, 1, -60
585, 1, 3, 1, -60
586, 1, 3, 1, -60
587, 1, 3, 1, -60
588, 1, 3, 1, -60
589, 1, 3, 1, -60
590, 1, 3, 1, -60
591, 1, 3, 1, -60
592, 1, 3, 1, -60
593, 1, 3, 1, -60
594, 1, 3, 1, -60
595, 1, 3, 1, -60
596, 1, 3, 1, -60
597, 1, 3, 1, -60
598, 1, 3, 1, -60
599, 1, 3, 1, -60
600, 0, 4, 1, -59
601, 0, 4, 1, -59
602, 0, 4, 1, -61
603, 0, 4, 1, -59
604, 0, 4, 1, -59
605, 0, 4, 1, -59
606, 0, 4, 1, -61
607, 0, 4, 1, -60
608, 0, 4, 1, -59
609, 0, 4, 1, -59
610, 0, 4, 1, -59
611, 0, 4, 1, -59
612, 0, 4, 1, -59
613, 0, 4, 1, -59
614, 0, 4, 1, -59
615, 0, 4, 1, -59
616, 0, 4, 1, -60
617, 0, 4, 1, -59
618, 0, 4, 1, -61
619, 0, 4, 1, -60
620, 1, 4, 1, -60
621, 1, 4, 1, -61
622, 1, 4, 1, -58
623, 1, 4, 1, -61
624, 1, 4, 1, -60
625, 1, 4, 1, -59
626, 1, 4, 1, -60
627, 1, 4, 1, -61
628, 1, 4, 1, -60
629, 1, 4, 1, -59
630, 1, 4, 1, -60
631, 1, 4, 1, -59
632, 1, 4, 1, -60
633, 1, 4, 1, -58
634, 1, 4, 1, -61
635, 1, 4, 1, -59
636, 1, 4, 1, -60
637, 1, 4, 1, -61
638, 1, 4, 1, -60
639, 1, 4, 1, -59
640, 0, 5, 1, -58
641, 0, 5, 1, -59
642, 0, 5, 1, -58
643, 0, 5, 1, -58
644, 0, 5, 1, -58
645, 0, 5, 1, -58
646, 0, 5, 1, -58
647, 0, 5, 1, -58
648, 0, 5, 1, -58
649, 0, 5, 1, -58
650, 0, 5, 1, -58
651, 0, 5, 1, -61
652, 0, 5, 1, -58
653, 0, 5, 1, -59
654, 0, 5, 1, -58
655, 0, 5, 1, -61
656, 0, 5, 1, -58
657, 0, 5, 1, -58
658, 0, 5, 1, -58
659, 0, 5, 1, -59
660, 1, 5, 1, -59
661, 1, 5, 1, -58
662, 1, 5, 1, -58
663, 1, 5, 1, -58
664, 1, 5, 1, -59
